activity_id,date,start_time,name,type,duration_min,distance_km,avg_hr,max_hr,calories,avg_power,norm_power,training_load,aerobic_te,anaerobic_te,elevation_gain_m,avg_speed_kmh
22883228342,2026-05-14,2026-05-14 21:50:05,Amsterdam Walking,walking,68.2,3.61,106.0,119.0,289.0,,,7.0224609375,0.5,0.0,20.0,3.18
22878678387,2026-05-14,2026-05-14 13:20:26,Amsterdam Walking,walking,94.2,5.59,105.0,131.0,407.0,,,11.206832885742188,0.8999999761581421,0.0,29.0,3.56
22873647835,2026-05-14,2026-05-14 05:09:19,Meditation,meditation,10.0,,60.0,78.0,,,,0.0,0.0,0.0,,
22873646870,2026-05-14,2026-05-14 04:53:16,Relax and Focus,breathwork,15.6,,59.0,106.0,,,,0.1278076171875,0.0,0.0,,
22893303304,2026-05-15,2026-05-15 18:28:33,Brussels Walking,walking,86.5,5.75,86.0,133.0,404.0,,,17.817947387695312,1.0,0.4000000059604645,89.0,3.99
22889562605,2026-05-15,2026-05-15 14:25:19,Sint-Joost-ten-Node Walking,walking,30.5,2.42,124.0,144.0,167.0,,,15.69488525390625,1.2999999523162842,0.0,12.0,4.77
22889097407,2026-05-15,2026-05-15 11:04:37,Amsterdam Track Me,other,161.9,204.23,74.0,124.0,315.0,,,3.443756103515625,0.30000001192092896,0.0,485.0,75.71
22885936000,2026-05-15,2026-05-15 07:55:57,Meditation,meditation,10.0,,54.0,69.0,,,,0.0,0.0,0.0,,
22885867758,2026-05-15,2026-05-15 07:40:00,Relax and Focus,breathwork,15.6,,63.0,108.0,,,,0.465911865234375,0.0,0.0,,
22899611145,2026-05-16,2026-05-16 11:37:45,Brussels Walking,walking,82.6,5.63,111.0,141.0,412.0,,,24.755935668945312,2.0,0.0,67.0,4.09
22897004036,2026-05-16,2026-05-16 09:07:25,Meditation,meditation,10.0,,69.0,87.0,,,,0.0,0.0,0.0,,
22896927921,2026-05-16,2026-05-16 08:51:27,Relax and Focus,breathwork,15.6,,67.0,87.0,,,,0.0,0.0,0.0,,
