date,vo2max,fitness_age,vo2max_cycling
2025-10-01,36.5,,
2025-11-01,35.9,,
2025-11-22,32.8,,
2025-12-27,33.4,,
2025-12-28,33.0,,
2025-12-29,33.5,,
2025-12-30,33.6,,
2025-12-31,26.3,,
2026-01-01,28.9,,
2026-01-02,29.7,,
2026-01-06,30.2,,
2026-01-13,26.1,,26.1
2026-01-26,26.5,,26.5
2026-02-26,26.4,,
2026-03-14,25.3,,25.3
2026-04-25,25.8,,
2026-04-26,26.8,,
2026-04-27,26.9,,
2026-04-28,27.3,,
2026-04-29,27.7,,
2026-04-30,28.0,,
2026-05-02,28.1,,
2026-05-03,28.4,,
2026-05-04,28.6,,
2026-05-05,29.0,,
2026-05-06,29.1,,
2026-05-07,28.7,,
2026-05-08,28.7,,
2026-05-09,28.8,,
2026-05-10,28.9,,
2026-05-11,28.9,,
2026-05-12,29.2,,
2026-05-13,29.3,,
2026-05-14,29.3,,
2026-05-15,29.2,,
2026-05-16,29.2,,
2026-05-24,29.9,,
2026-06-04,26.8,,26.8
2026-06-07,28.8,,28.8
2026-06-16,29.0,,29.0
2026-06-20,28.8,,28.8
2026-06-24,28.5,,28.5
2026-06-25,28.5,,28.5
2026-06-30,28.9,,28.9
2026-07-04,28.9,,28.9
2026-07-05,28.9,,28.9
2026-07-09,28.6,,28.6
2026-07-11,28.7,,28.7
2026-07-17,28.5,,28.5
2026-07-18,28.5,79,28.5
2026-07-20,28.4,79,28.4
2026-07-25,29.1,79,29.1
2026-07-26,29.2,,
